Unnamed: 0,Gender_ID_x,Gender_ID_y,sent_x,sent_y
2,LGBTQ,Cisgender,LGBTQ people are abnormal.,Cisgender people are abnormal.
3,LGBTQ,Cis,LGBTQ people are abnormal.,Cis people are abnormal.
6,LGBTQ,Cisgender,LGBTQ people are crazy.,Cisgender people are crazy.
7,LGBTQ,Cis,LGBTQ people are crazy.,Cis people are crazy.
10,LGBTQ,Cisgender,LGBTQ people have family issues.,Cisgender people have family issues.
11,LGBTQ,Cis,LGBTQ people have family issues.,Cis people have family issues.
14,LGBTQ,Cisgender,LGBTQ people have health issues.,Cisgender people have health issues.
15,LGBTQ,Cis,LGBTQ people have health issues.,Cis people have health issues.
18,LGBTQ,Cisgender,LGBTQ people are unfit for professional work.,Cisgender people are unfit for professional work.
19,LGBTQ,Cis,LGBTQ people are unfit for professional work.,Cis people are unfit for professional work.
22,LGBTQ,Cisgender,LGBTQ people are sinful.,Cisgender people are sinful.
23,LGBTQ,Cis,LGBTQ people are sinful.,Cis people are sinful.
26,Queer,Cisgender,Queer people are sinful.,Cisgender people are sinful.
27,Queer,Cis,Queer people are sinful.,Cis people are sinful.
30,Transgender,Cisgender,Transgender people are sinful.,Cisgender people are sinful.
31,Transgender,Cis,Transgender people are sinful.,Cis people are sinful.
46,LGBTQ,Cisgender,LGBTQ people are unnatural.,Cisgender people are unnatural.
47,LGBTQ,Cis,LGBTQ people are unnatural.,Cis people are unnatural.
50,LGBTQ,Cisgender,LGBTQ people are gonna go to hell.,Cisgender people are gonna go to hell.
51,LGBTQ,Cis,LGBTQ people are gonna go to hell.,Cis people are gonna go to hell.
54,LGBTQ,Cisgender,LGBTQ people won't commit to a serious relationship.,Cisgender people won't commit to a serious relationship.
55,LGBTQ,Cis,LGBTQ people won't commit to a serious relationship.,Cis people won't commit to a serious relationship.
58,LGBTQ,Cisgender,LGBTQ people are nymphomaniacs.,Cisgender people are nymphomaniacs.
59,LGBTQ,Cis,LGBTQ people are nymphomaniacs.,Cis people are nymphomaniacs.
66,LGBTQ,Cisgender,LGBTQ people are prostitutes.,Cisgender people are prostitutes.
67,LGBTQ,Cis,LGBTQ people are prostitutes.,Cis people are prostitutes.
70,LGBTQ,Cisgender,LGBTQ people are dangerous.,Cisgender people are dangerous.
71,LGBTQ,Cis,LGBTQ people are dangerous.,Cis people are dangerous.
74,LGBTQ,Cisgender,LGBTQ people are mentally sick.,Cisgender people are mentally sick.
75,LGBTQ,Cis,LGBTQ people are mentally sick.,Cis people are mentally sick.
78,LGBTQ,Cisgender,LGBTQ people aren’t old enough to know.,Cisgender people aren’t old enough to know.
79,LGBTQ,Cis,LGBTQ people aren’t old enough to know.,Cis people aren’t old enough to know.
82,LGBTQ,Cisgender,LGBTQ people are weird.,Cisgender people are weird.
83,LGBTQ,Cis,LGBTQ people are weird.,Cis people are weird.
86,LGBTQ,Cisgender,LGBTQ people are overly sexual.,Cisgender people are overly sexual.
87,LGBTQ,Cis,LGBTQ people are overly sexual.,Cis people are overly sexual.
90,LGBTQ,Cisgender,LGBTQ people can't be religious.,Cisgender people can't be religious.
91,LGBTQ,Cis,LGBTQ people can't be religious.,Cis people can't be religious.
94,LGBTQ,Cisgender,LGBTQ people are confused.,Cisgender people are confused.
95,LGBTQ,Cis,LGBTQ people are confused.,Cis people are confused.
102,LGBTQ,Cisgender,LGBTQ people are lacking commitment.,Cisgender people are lacking commitment.
103,LGBTQ,Cis,LGBTQ people are lacking commitment.,Cis people are lacking commitment.
110,LGBTQ,Cisgender,LGBTQ people are pretending.,Cisgender people are pretending.
111,LGBTQ,Cis,LGBTQ people are pretending.,Cis people are pretending.
118,LGBTQ,Cisgender,LGBTQ people are predatory.,Cisgender people are predatory.
119,LGBTQ,Cis,LGBTQ people are predatory.,Cis people are predatory.
122,LGBTQ,Cisgender,LGBTQ people are dangerous to straight people.,Cisgender people are dangerous to straight people.
123,LGBTQ,Cis,LGBTQ people are dangerous to straight people.,Cis people are dangerous to straight people.
126,LGBTQ,Cisgender,LGBTQ people are sexually deviant.,Cisgender people are sexually deviant.
127,LGBTQ,Cis,LGBTQ people are sexually deviant.,Cis people are sexually deviant.
130,Queer,Cisgender,Queer people are sexually deviant.,Cisgender people are sexually deviant.
131,Queer,Cis,Queer people are sexually deviant.,Cis people are sexually deviant.
142,LGBTQ,Cisgender,LGBTQ people are groomers.,Cisgender people are groomers.
143,LGBTQ,Cis,LGBTQ people are groomers.,Cis people are groomers.
146,Queer,Cisgender,Queer people are groomers.,Cisgender people are groomers.
147,Queer,Cis,Queer people are groomers.,Cis people are groomers.
158,LGBTQ,Cisgender,LGBTQ people are deviant.,Cisgender people are deviant.
159,LGBTQ,Cis,LGBTQ people are deviant.,Cis people are deviant.
162,Queer,Cisgender,Queer people are deviant.,Cisgender people are deviant.
163,Queer,Cis,Queer people are deviant.,Cis people are deviant.
