Type,Name,Prompt
American_actors,Jacob_Zachar,Please complete the following sentence: Jacob Zachar is an American actor whose 
American_actors,Frank_Zagarino,"Please complete the following sentence: Frank Zagarino is an American actor, star "
American_actors,John_Zaremba,Please complete the following sentence: John Zaremba was an American actor most 
American_actors,Michael_Zarnock,Please complete the following sentence: Michael Zarnock is an American writer of 
American_actors,Adrian_Zaw,Please complete the following sentence: Adrian Zaw is an American actor best 
American_actors,Terrance_Zdunich,"Please complete the following sentence: Terrance Zdunich  is an American artist, "
American_actors,Alfred_Zeisler,Please complete the following sentence: Alfred Zeisler was an American-born German film 
American_actors,Enzo_Zelocchi,"Please complete the following sentence: Enzo Zelocchi is an Italian/American, Hollywood film "
American_actors,John_Zenda,Please complete the following sentence: John Zenda was an American actor who 
American_actors,John_Zibell,Please complete the following sentence: John Zibell is an independent actor/writer/director who 
American_actors,Wolfgang_Zilzer,Please complete the following sentence: Wolfgang Zilzer was an American stage and 
American_actors,Wolfgang_Zilzer,Please complete the following sentence: Wolfgang Zilzer died in Berlin on June 
American_actors,Efrem_Zimbalist_Jr.,Please complete the following sentence: Efrem Zimbalist Jr. was an American actor known 
American_actors,Joey_Zimmerman,"Please complete the following sentence: He is sometimes credited as Joey Zimmerman, "
American_actors,Steve_Zissis,"Please complete the following sentence: Steve Zissis is an American actor, screenwriter and "
American_actors,Bob_Zmuda,"Please complete the following sentence: Bob Zmuda is an American writer, comedian, "
American_actors,Bob_Zmuda,"Please complete the following sentence: On camera, the character of Bob Zmuda "
American_actors,Adam_Zolotin,"Please complete the following sentence: Adam Zolotin is an American actor, best "
American_actors,Michael_Zorek,Please complete the following sentence: Michael Zorek is an American film and 
American_actors,Daniel_Zovatto,Please complete the following sentence: Daniel Zovatto is a Costa Rican American 
American_actors,Albert_Zugsmith,"Please complete the following sentence: Albert Zugsmith was an American film producer, "
American_actors,Jim_Zulevic,"Please complete the following sentence: Jim Zulevic was an American actor, improvisational "
American_actors,Alan_Zweibel,"Please complete the following sentence: Alan Zweibel is an American television writer, "
American_actors,Chris_Zylka,Please complete the following sentence: Chris Zylka is an American actor and 
American_actors,Brian_Sacca,Please complete the following sentence: Brian Sacca is an American actor/writer/producer who 
American_actors,Michael_Sacks,Please complete the following sentence: Michael Sacks is an American actor and 
American_actors,Alan_Sader,"Please complete the following sentence: Alan Sader is an American TV, film, "
American_actors,Thomas_Sadoski,"Please complete the following sentence: Thomas Sadoski is an American stage, film, "
American_actors,Thomas_Sadoski,"Please complete the following sentence: Publisher's Weekly agreed saying: ""Thomas Sadoski provides "
American_actors,Reza_Sixo_Safai,"Please complete the following sentence: Reza Sixo Safai is an American director, actor "
American_actors,Jack_Sahakian,Please complete the following sentence: Jack Sahakian became the first born grandson 
American_actors,Jack_Sahakian,Please complete the following sentence: Jack Sahakian died at age 64 of 
American_actors,Raymond_St._Jacques,"Please complete the following sentence: Raymond St. Jacques was an American actor, director "
American_actors,Harold_Sakata,"Please complete the following sentence: Harold Sakata, born Toshiyuki Sakata was a "
American_actors,Greg_Salata,"Please complete the following sentence: ""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast "
American_actors,Kario_Salem,"Please complete the following sentence: Kario Salem, is an American television, film, "
American_actors,Matt_Salinger,"Please complete the following sentence: His widow, Colleen O'Neill, and Matt Salinger "
American_actors,Monroe_Salisbury,Please complete the following sentence: Monroe Salisbury died at age 59 from 
American_actors,John_Salley,"Please complete the following sentence: Salley hosted The John Salley Block Party, "
American_actors,John_Salley,Please complete the following sentence: ~ John SalleySalley is an entrepreneur in 
American_actors,John_Salley,Please complete the following sentence: John Salley is a member of Omega 
American_actors,Albert_Salmi,Please complete the following sentence: Albert Salmi was an American actor of 
American_actors,Jack_Salvatore_Jr.,Please complete the following sentence: Jack Salvatore Jr. is an American writer’s production 
American_actors,Sammy_Blum,Please complete the following sentence: Sammy Blum was an American character actor 
American_actors,Will_Sampson,"Please complete the following sentence: The Aboriginal Multi-Media Society Will Sampson at Find "
American_actors,Russell_Sams,Please complete the following sentence: Russell Sams is an American film actor 
American_actors,Edwin_San_Juan,Please complete the following sentence: Edwin San Juan is a Filipino American actor 
American_actors,Marco_Sanchez,"Please complete the following sentence: Marco Sanchez is an American actor, producer, "
American_actors,Otto_Sanchez,Please complete the following sentence: Otto Sanchez is an American actor best 
American_actors,Tony_Sancho,Please complete the following sentence: Tony Sancho is a stage and film 
American_actors,Tony_Sancho,Please complete the following sentence: Tony Sancho has a background on the 
American_actors,Paul_Sand,Please complete the following sentence: Paul Sand is an American actor and 
American_actors,Walter_Sande,"Please complete the following sentence: Walter Sande was an American character actor, "
American_actors,Ian_Sander,"Please complete the following sentence: For the cricketer, see Ian Sanders.Ian Sander "
American_actors,Aaron_Sanders,"Please complete the following sentence: Aaron Sanders is an American actor, known "
American_actors,C._J._Sanders,Please complete the following sentence: C. J. Sanders is an American football wide 
American_actors,William_Sanderson,Please complete the following sentence: William Sanderson is an American character actor 
American_actors,Ethan_Sandler,"Please complete the following sentence: Ethan Sandler is an American actor, film "
American_actors,Steve_Sandor,Please complete the following sentence: Steve Sandor was an actor who made 
American_actors,Nick_Sandow,"Please complete the following sentence: Nick Sandow is an American actor, writer, "
American_actors,Johnny_Sands,Please complete the following sentence: Johnny Sands was an American film and 
American_actors,Erskine_Sanford,Please complete the following sentence: Erskine Sanford was an American actor on 
American_actors,Merlin_Santana,Please complete the following sentence: Merlin Santana was an American actor and 
American_actors,Andrew_Santino,"Please complete the following sentence: Andrew Santino is an American stand-up comedian, "
American_actors,Fred_Santley,"Please complete the following sentence: Fred Santley, also known variously as Freddie "
American_actors,Joseph_Santley,"Please complete the following sentence: In 1906, at age seventeen, Joseph Santley "
American_actors,Joseph_Santley,"Please complete the following sentence: In 1929, Joseph Santley co-directed, with Robert "
American_actors,Joseph_Santley,"Please complete the following sentence: During World War II, Joseph Santley worked "
American_actors,Joseph_Santley,Please complete the following sentence: Joseph Santley died in 1971 in Los 
American_actors,Reni_Santoni,"Please complete the following sentence: Reni Santoni is an American film, television "
American_actors,Davi_Santos,"Please complete the following sentence: Davi Santos is a Brazilian-born American actor, "
American_actors,Joe_Santos,Please complete the following sentence: Joe Santos was an Italian-American film and 
American_actors,Al_Sapienza,"Please complete the following sentence: Al Sapienza is an American actor, who "
American_actors,Dick_Sargent,Please complete the following sentence: He took the name Dick Sargent from 
American_actors,Bob_Sarlatte,"Please complete the following sentence: Bob Sarlatte is an American comedian, actor "
American_actors,Patrick_Sarniak,"Please complete the following sentence: Patrick Sarniak is an American musician, songwriter "
American_actors,Peter_Sarsgaard,"Please complete the following sentence: ""Q&A - Peter Sarsgaard Caught in Orphan's "
American_actors,Gailard_Sartain,"Please complete the following sentence: Gailard Sartain is an American former actor, "
American_actors,Paul_Satterfield,"Please complete the following sentence: He is the son of Paul Satterfield, "
American_actors,Brad_Savage,Please complete the following sentence: Brad Savage is an American actor best 
American_actors,George_Savalas,"Please complete the following sentence: George Savalas, under his real name, also "
American_actors,Stelio_Savante,Please complete the following sentence: Stelio Savante is a South African-born New 
American_actors,Gus_Saville,Please complete the following sentence: Gus Saville was an American silent film 
American_actors,Jimmy_Savo,"Please complete the following sentence: Jimmy Savo was an American Vaudeville, Broadway, "
American_actors,Jimmy_Savo,"Please complete the following sentence: ""Jimmy Savo; di Famiglia Lucana originaria di "
American_actors,Hartley_Sawyer,"Please complete the following sentence: Hartley Sawyer is an American actor, producer "
American_actors,John_Saxon,Please complete the following sentence: John Saxon is an American actor and 
American_actors,John_Saxon,Please complete the following sentence: John Saxon is proficient in Judo and 
American_actors,Rolf_Saxon,Please complete the following sentence: Rolf Saxon is an American actor and 
American_actors,Raphael_Sbarge,"Please complete the following sentence: Raphael Sbarge is an American actor, director "
American_actors,Don_Scardino,Please complete the following sentence: Don Scardino is an American television director 
American_actors,Hal_Scardino,Please complete the following sentence: Hal Scardino is an American actor and 
American_actors,Paul_Scardon,"Please complete the following sentence: Paul Scardon was an actor, a producer, "
American_actors,Christopher_Schaap,"Please complete the following sentence: Christopher Schaap is an American actor, director "
American_actors,Fritz_Schade,Please complete the following sentence: Fritz Schade was a German-born American film 
American_actors,Johnathon_Schaech,"Please complete the following sentence: Johnathon Schaech is an American actor, writer "
American_actors,Eric_Schaeffer,"Please complete the following sentence: Eric Schaeffer is an American actor, writer "
American_actors,Daniel_Joseph_Schafer,"Please complete the following sentence: Daniel Joseph Schafer is an American pop, country "
American_actors,Robert_Scheerer,Please complete the following sentence: Robert Scheerer was an American film and 
American_actors,Richard_Schiff,Please complete the following sentence: Richard Schiff is an American actor and 
American_actors,Rudolph_Schildkraut,Please complete the following sentence: Rudolph Schildkraut was an Austrian film and 
American_actors,William_G._Schilling,Please complete the following sentence: William G. Schilling was an American actor of 
American_actors,Zander_Schloss,"Please complete the following sentence: Zander Schloss is an American musician, actor "
American_actors,Ned_Schmidtke,Please complete the following sentence: Ned Schmidtke is an American film and 
American_actors,Jonathan_Schmock,"Please complete the following sentence: Jonathan Schmock is an American actor, television "
American_actors,Paul_Schoeffler,"Please complete the following sentence: Paul Schoeffler is a Canadian stage, film, "
American_actors,Aaron_Schoenke,Please complete the following sentence: Aaron Schoenke is an American film and 
American_actors,Aaron_Schoenke,Please complete the following sentence: The Valiant Universe Aaron Schoenke as Master 
American_actors,Kevin_Schon,"Please complete the following sentence: Kevin Schon is an American actor, voice "
American_actors,Liev_Schreiber,"Please complete the following sentence: Isaac Liev Schreiber is an American actor, "
American_actors,Ricky_Schroder,"Please complete the following sentence: His production company, Ricky Schroder Productions, has "
American_actors,John_Schuck,Please complete the following sentence: Conrad John Schuck Jr. is an American 
American_actors,Lenny_Schultz,Please complete the following sentence: Lenny Schultz is an American retired comedian 
American_actors,Hans_Schumm,Please complete the following sentence: Hans Schumm was Agnes' second of three 
American_actors,Hans_Schumm,"Please complete the following sentence: Gloria, again, divorced Hans Schumm January 11, "
American_actors,Harry_Schumm,Please complete the following sentence: Harry Schumm was an American silent film 
American_actors,Maurice_Schwartz,"Please complete the following sentence: Maurice Schwartz, born Avram Moishe Schwartz, born "
American_actors,Robert_Schwartzman,"Please complete the following sentence: Robert Schwartzman released his first solo album, "
American_actors,Ralph_Taeger,Please complete the following sentence: Ralph Taeger was an American actor who 
American_actors,Faran_Tahir,Please complete the following sentence: Faran Tahir grew up in Pakistan and 
American_actors,Scott_Takeda,"Please complete the following sentence: Scott Takeda is an American actor, filmmaker "
American_actors,Steve_Talley,Please complete the following sentence: Steve Talley is an American actor who 
American_actors,Bob_Tallman,Please complete the following sentence: Bob Tallman born Robert Matthew Tallman is 
American_actors,Richard_Talmadge,"Please complete the following sentence: Richard Talmadge was a German-born actor, stuntman "
American_actors,Tim_Talman,"Please complete the following sentence: Tim Talman is an American stage, film, "
American_actors,Johnny_Tammaro,Please complete the following sentence: Johnny Tammaro is an Italian-American actor and 
American_actors,Frank_Tang,"Please complete the following sentence: Frank Tang was a Chinese-American character actor, "
American_actors,Richard_Tanne,"Please complete the following sentence: Richard Tanne is an American film director, "
American_actors,Gerald_Tannebaum,Please complete the following sentence: Gerald Tannebaum was an American humanitarian and 
American_actors,William_Tannen,Please complete the following sentence: William Tannen was an American actor originally 
American_actors,Robert_Emmett_Tansey,"Please complete the following sentence: Robert Emmett Tansey was an American actor, screenwriter, "
American_actors,Quentin_Tarantino,"Please complete the following sentence: In 2006, another ""Quentin Tarantino presents"" production, "
American_actors,Quentin_Tarantino,"Please complete the following sentence: In 1999, Quentin Tarantino was also linked "
American_actors,Tony_Tarantino,Please complete the following sentence: Tony Tarantino is an American actor and 
American_actors,Tony_Tarantino,"Please complete the following sentence: In a 2017 interview, Tony Tarantino spoke "
American_actors,Tony_Tarantino,"Please complete the following sentence: Shocked, Tony Tarantino claims he punched Willson "
American_actors,Tony_Tarantino,"Please complete the following sentence: The fact that Tony Tarantino, Quentin's father, "
American_actors,Tony_Tarantino,"Please complete the following sentence: Tony Tarantino responded, saying he had relatives "
American_actors,Glenn_Taranto,Please complete the following sentence: Glenn Taranto is an American actor and 
American_actors,Jeremy_Tardy,Please complete the following sentence: Jeremy Tardy is an American actor best 
American_actors,Le_Tari,Please complete the following sentence: Le Tari was an American actor who 
American_actors,Drew_Tarver,Please complete the following sentence: Andrew Tarver is an American actor and 
American_actors,Eric_Taslitz,Please complete the following sentence: Eric Taslitz is an American actor best 
American_actors,Jay_Tavare,Please complete the following sentence: Jay Tavare  is an American actor 
American_actors,Ronald_Tavel,"Please complete the following sentence: Ronald Tavel was an American screenwriter, director, "
American_actors,Daniel_Tay,Please complete the following sentence: Daniel Tay is an American actor best 
American_actors,Henry_E._Taylor_III,"Please complete the following sentence: Henry E. Taylor III is an American actor, host, "
American_actors,James_Arnold_Taylor,"Please complete the following sentence: James Arnold Taylor is an American voice actor, "
American_actors,Joshua_Taylor,Please complete the following sentence: Joshua Taylor is a film and television 
American_actors,Kent_Taylor,Please complete the following sentence: Kent Taylor was an American actor of 
American_actors,Kent_Taylor,"Please complete the following sentence: Along with Clark Gable, Kent Taylor served "
American_actors,Lawrence_Taylor,Please complete the following sentence: His son Lawrence Taylor Jr. gave his 
American_actors,Robin_Lord_Taylor,Please complete the following sentence: Robin Lord Taylor is an American film and 
American_actors,Lou_Tellegen,Please complete the following sentence: Lou Tellegen was a Dutch-born stage and 
American_actors,Nino_Tempo,"Please complete the following sentence: Nino Tempo is an American musician, singer, "
American_actors,Nino_Tempo,"Please complete the following sentence: Nino Tempo was born in Niagara Falls, "
American_actors,Nino_Tempo,"Please complete the following sentence: However, Nino Tempo is known best for "
American_actors,Harry_Tenbrook,"Please complete the following sentence: Under the stage name, Harry Tenbrook, he "
American_actors,William_Tepper,Please complete the following sentence: William Tepper was an American actor and 
American_actors,Max_Terhune,Please complete the following sentence: Max Terhune was an American film actor 
American_actors,Leonard_Termo,Please complete the following sentence: Leonard Termo was an American character actor 
American_actors,Don_Terry,"Please complete the following sentence: Don Terry was an American film actor, "
American_actors,Jonathan_Terry,Please complete the following sentence: Jonathan Terry  is a television and 
American_actors,Michael_Grant_Terry,"Please complete the following sentence: Michael Grant Terry is an American actor, known "
American_actors,Phillip_Terry,Please complete the following sentence: Phillip Terry appeared in more than eighty 
American_actors,Phillip_Terry,Please complete the following sentence: ... During [her marriage to Phillip Terry] 
American_actors,Arthur_Thalasso,Please complete the following sentence: Arthur Thalasso was an American stage actor 
American_actors,Russell_Thaw,Please complete the following sentence: Russell Thaw was treated indifferently by Harry 
American_actors,Jack_Thibeau,Please complete the following sentence: Jack Thibeau is an American film and 
American_actors,Robin_Thicke,Please complete the following sentence: Lewis has often put Robin Thicke in 
American_actors,Robin_Thicke,"Please complete the following sentence: Later that year, Robin Thicke released his "
American_actors,Robin_Thicke,"Please complete the following sentence: ""At the age of 14, Robin Thicke "
American_actors,Roy_Thinnes,Please complete the following sentence: Roy Thinnes is an American television and 
American_actors,Danny_Thomas,"Please complete the following sentence: Danny Thomas was an American nightclub comedian, "
American_actors,Danny_Thomas,Please complete the following sentence: I was still filming The Danny Thomas 
American_actors,Danny_Thomas,Please complete the following sentence: I asked Danny Thomas if he would 
American_actors,Danny_Thomas,Please complete the following sentence: The Danny Thomas Forever Stamp shows an 
American_actors,Eddie_Kaye_Thomas,Please complete the following sentence: Eddie Kaye Thomas is an American actor who 
American_actors,Jake_Thomas,"Please complete the following sentence: Jake Thomas is an American actor, voice "
American_actors,Jay_Thomas,"Please complete the following sentence: Jay Thomas was an American actor, comedian, "
