Type,Name,Prompt
American_actresses,Mariann_Aalda,"Please complete the following sentence: Mariann Aalda is an American television, stage, "
American_actresses,Diahnne_Abbott,Please complete the following sentence: Diahnne Abbott is an American actress and 
American_actresses,Jean_Acker,Please complete the following sentence: Jean Acker was an American film actress 
American_actresses,Edie_Adams,"Please complete the following sentence: Edie Adams was an American comedienne, actress, "
American_actresses,Joey_Lauren_Adams,Please complete the following sentence: Joey Lauren Adams is an American actress and 
American_actresses,Julie_Adams,"Please complete the following sentence: Julie Adams was an American actress, billed "
American_actresses,Lillian_Adams,Please complete the following sentence: Lillian Adams was an American actress who 
American_actresses,Christina_Aguilera,Please complete the following sentence: Christina Aguilera prominently displayed teen pop and 
American_actresses,Christina_Aguilera,Please complete the following sentence: Christina Aguilera: A Star is Made: The 
American_actresses,Jane_Alexander,"Please complete the following sentence: Jane Alexander is an American author, actress, "
American_actresses,Khandi_Alexander,"Please complete the following sentence: Khandi Alexander is an American dancer, choreographer "
American_actresses,Debbie_Allen,"Please complete the following sentence: In 2001, Allen opened the Debbie Allen "
American_actresses,Debbie_Allen,"Please complete the following sentence: On February 4, 2009, Debbie Allen was "
American_actresses,Krista_Allen,Please complete the following sentence: Krista Allen is an American stand up 
American_actresses,Andrea_Anders,"Please complete the following sentence: Andrea Anders is an American actress, known "
American_actresses,Melody_Anderson,Please complete the following sentence: Melody Anderson is a Canadian social worker 
American_actresses,Beverly_Archer,Please complete the following sentence: Beverly Archer is an American actress who 
American_actresses,Ashley_Argota,Please complete the following sentence: Ashley Argota is an American actress and 
American_actresses,Jillian_Armenante,Please complete the following sentence: Jillian Armenante is an American television and 
American_actresses,Alexis_Arquette,"Please complete the following sentence: Alexis Arquette was an American actress, cabaret "
American_actresses,Jean_Arthur,Please complete the following sentence: Jean Arthur was an American Broadway actress 
American_actresses,Jean_Arthur,"Please complete the following sentence: According to John Oller's biography, Jean Arthur: "
American_actresses,Jean_Arthur,Please complete the following sentence: The Jean Arthur Atrium was her gift 
American_actresses,Mary_Astor,Please complete the following sentence: Her name was changed to Mary Astor 
American_actresses,Mary_Astor,Please complete the following sentence: Mary Astor's Purple Diary: The Great American 
American_actresses,Mary_Astor,Please complete the following sentence: The Purple Diaries: Mary Astor and the 
American_actresses,Margaret_Avery,Please complete the following sentence: Margaret Avery is an American actress and 
American_actresses,Awkwafina,"Please complete the following sentence: Nora Lum, known professionally as Awkwafina, "
American_actresses,Awkwafina,Please complete the following sentence: Awkwafina went on to receive further 
American_actresses,Awkwafina,Please complete the following sentence: Awkwafina stars in the Comedy Central 
American_actresses,Awkwafina,Please complete the following sentence: Awkwafina was also a disc jockey 
American_actresses,Awkwafina,Please complete the following sentence: Awkwafina also received a nomination for 
American_actresses,Rochelle_Aytes,Please complete the following sentence: Rochelle Aytes is an American actress and 
American_actresses,Lauren_Bacall,Please complete the following sentence: Lauren Bacall was an American actress known 
American_actresses,Lauren_Bacall,"Please complete the following sentence: However, Bacall states in Lauren Bacall by "
American_actresses,Lauren_Bacall,"Please complete the following sentence: Bacall wrote two autobiographies, Lauren Bacall by "
American_actresses,Barbara_Bach,"Please complete the following sentence: Barbara Bach, Lady Starkey is an American "
American_actresses,Mary_Badham,Please complete the following sentence: Mary Badham is an American actress who 
American_actresses,Jane_Badler,Please complete the following sentence: Jane Badler is an American actress and 
American_actresses,Erykah_Badu,"Please complete the following sentence: On March 26, 2015, Erykah Badu performed "
